6707, 0.00, 0.00, 0.00, 0.00, 0.00  |  0.00, 0.00, 0.00, 0.00, 0.00
Kp = 3E-7
Ki = 1E-11
Setting left:  30
2700.00
15261, 3719.68, 2700.00, -1019.68, 77847224.00, 23.35  |  1010.18, 0.00, 0.00, 0.00, 0.00
15364, 3927.73, 2700.00, -1227.73, 77391384.00, 23.22  |  1165.61, 0.00, 0.00, 0.00, 0.00
15467, 3584.74, 2700.00, -884.74, 76970288.00, 23.09  |  1012.23, 0.00, 0.00, 0.00, 0.00
15570, 3723.56, 2700.00, -1023.56, 76540888.00, 22.96  |  1305.62, 0.00, 0.00, 0.00, 0.00
15673, 3697.13, 2700.00, -997.13, 76032680.00, 22.81  |  1307.19, 0.00, 0.00, 0.00, 0.00
15776, 4052.52, 2700.00, -1352.52, 75415152.00, 22.62  |  1201.87, 0.00, 0.00, 0.00, 0.00
15879, 4023.82, 2700.00, -1323.82, 74794584.00, 22.44  |  1380.61, 0.00, 0.00, 0.00, 0.00
15982, 3606.46, 2700.00, -906.46, 74280624.00, 22.28  |  965.70, 0.00, 0.00, 0.00, 0.00
16086, 3628.97, 2700.00, -928.97, 73787200.00, 22.13  |  914.88, 0.00, 0.00, 0.00, 0.00
16189, 3555.18, 2700.00, -855.18, 73385632.00, 22.01  |  1215.48, 0.00, 0.00, 0.00, 0.00
16292, 3014.23, 2700.00, -314.23, 73167416.00, 21.95  |  1003.25, 0.00, 0.00, 0.00, 0.00
16395, 2395.55, 2700.00, 304.45, 73208176.00, 21.96  |  842.77, 0.00, 0.00, 0.00, 0.00
16498, 2195.68, 2700.00, 504.32, 73363400.00, 22.01  |  820.43, 0.00, 0.00, 0.00, 0.00
16601, 2151.46, 2700.00, 548.54, 73583184.00, 22.07  |  820.43, 0.00, 0.00, 0.00, 0.00
16704, 2471.33, 2700.00, 228.67, 73825688.00, 22.15  |  610.60, 0.00, 0.00, 0.00, 0.00
16807, 1629.62, 2700.00, 1070.38, 74140856.00, 22.24  |  610.60, 0.00, 0.00, 0.00, 0.00
16910, 1882.67, 2700.00, 817.33, 74565360.00, 22.37  |  522.93, 0.00, 0.00, 0.00, 0.00
17013, 1913.51, 2700.00, 786.49, 74973432.00, 22.49  |  570.06, 0.00, 0.00, 0.00, 0.00
17116, 1727.12, 2700.00, 972.88, 75308384.00, 22.59  |  570.06, 0.00, 0.00, 0.00, 0.00
17219, 1959.86, 2700.00, 740.14, 75705912.00, 22.71  |  571.01, 0.00, 0.00, 0.00, 0.00
17323, 2016.62, 2700.00, 683.38, 76066840.00, 22.82  |  571.01, 0.00, 0.00, 0.00, 0.00
17426, 2138.03, 2700.00, 561.97, 76359376.00, 22.90  |  624.70, 0.00, 0.00, 0.00, 0.00
17529, 2280.61, 2700.00, 419.39, 76571592.00, 22.97  |  795.27, 0.00, 0.00, 0.00, 0.00
17632, 2566.74, 2700.00, 133.26, 76623240.00, 22.98  |  914.31, 0.00, 0.00, 0.00, 0.00
17735, 2484.60, 2700.00, 215.40, 76634928.00, 22.99  |  781.37, 0.00, 0.00, 0.00, 0.00
17838, 2815.63, 2700.00, -115.63, 76656680.00, 22.99  |  852.11, 0.00, 0.00, 0.00, 0.00
17941, 2937.72, 2700.00, -237.72, 76603040.00, 22.98  |  938.69, 0.00, 0.00, 0.00, 0.00
18044, 2932.90, 2700.00, -232.90, 76460888.00, 22.94  |  938.69, 0.00, 0.00, 0.00, 0.00
18147, 2885.84, 2700.00, -185.84, 76344392.00, 22.90  |  852.17, 0.00, 0.00, 0.00, 0.00
